Time_Casa,Time_Visitante,Liga,Vitoria_Poisson,Empate_Poisson,Derrota_Poisson,Constante_Chrissy,Resultado
Southampton,Manchester City,Premier League,0.07916386718335786,0.21894994444298796,0.69366659437482,-1.3177668013770392,
Burnley,West Ham,Premier League,0.13902020489630743,0.2056053111940832,0.6391923553777528,-1.2004190989372847,
Manchester United,Bournemouth,Premier League,0.6059609227546536,0.2018067920293105,0.1707115450919212,1.1034775233248515,
Everton,Leicester City,Premier League,0.4063816102449209,0.24675199174916004,0.3390712246942246,0.15536596317916462,
Arsenal,Fulham,Premier League,0.7962842313408325,0.07979660088917312,0.02553140245720113,2.725041161502769,
Cardiff,Tottenham,Premier League,0.0547617533984016,0.0855071522465384,0.672266191758622,-2.797186049992516,
